
 ===========================================================================
 Free Tip Potential Formulation Solution:  P2OriginalPropeller             
                                                  Wake adv. ratio:    0.06507
 no. blades :  2            radius(m)  :   0.3750     adv. ratio:     0.00127
 thrust(N)  :   23.5        power(W)   :   163.       torque(N-m):  0.779    
 Efficiency :  0.0144       speed(m/s) :    0.100     rpm        :   1999.999
 Eff induced:  0.0196       Eff ideal  :   0.0212     Tcoef      :  8676.8369
 Tnacel(N)  :     0.1318    hub rad.(m):   0.0550     disp. rad. :    0.1687
 Tvisc(N)   :    -0.0891    Pvisc(W)   :   42.8    
 rho(kg/m3) :   1.22500     Vsound(m/s):  340.294     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
Helicopter:  Sigma:    0.07204  CTh/s:    0.09763  FOM:    0.67000
                Ct:    0.05452     Cp:    0.01516    J:    0.00400
                Tc: 8676.83691     Pc:***********  adv:    0.00127

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U
  1 0.151 0.0854   0.96  0.575   0.0472  27.32  0.036 -0.03349.858   0.000
  2 0.167 0.1040   4.28  0.551   0.0400  35.72  0.039 -0.129-0.419   0.000
  3 0.196 0.1280   8.56  0.613   0.0366  50.38  0.045  0.064 0.415   0.000
  4 0.233 0.1520  12.84  0.704   0.0351  70.24  0.053  0.026 0.668   0.000
  5 0.274 0.1760  17.12  0.773   0.0331  95.37  0.062  0.015 0.789   0.000
  6 0.317 0.2000  21.40  0.787   0.0294 126.08  0.072  0.010 0.858   0.000
  7 0.361 0.1823  19.52  0.811   0.0297 131.54  0.082  0.011 0.840   0.000
  8 0.406 0.1668  17.98  0.806   0.0290 135.62  0.093  0.012 0.824   0.000
  9 0.450 0.1547  16.69  0.787   0.0279 139.84  0.103  0.013 0.810   0.000
 10 0.494 0.1451  15.59  0.764   0.0266 144.16  0.113  0.014 0.798   0.000
 11 0.537 0.1374  14.64  0.739   0.0253 148.58  0.123  0.015 0.786   0.000
 12 0.579 0.1312  13.81  0.714   0.0241 153.04  0.133  0.015 0.775   0.000
 13 0.620 0.1261  13.07  0.689   0.0230 157.49  0.142  0.016 0.764   0.000
 14 0.659 0.1218  12.40  0.665   0.0219 161.84  0.151  0.016 0.754   0.000
 15 0.696 0.1181  11.81  0.642   0.0210 165.98  0.160  0.016 0.744   0.000
 16 0.732 0.1148  11.27  0.620   0.0201 169.70  0.168  0.017 0.734   0.000
 17 0.766 0.1117  10.79  0.599   0.0194 172.79  0.176  0.017 0.724   0.000
 18 0.798 0.1085  10.35  0.580   0.0188 174.93  0.184  0.017 0.714   0.000
 19 0.828 0.1050   9.96  0.562   0.0183 175.71  0.191  0.018 0.703   0.000
 20 0.856 0.1010   9.61  0.545   0.0179 174.70  0.197  0.018 0.692   0.000
 21 0.881 0.0962   9.29  0.531   0.0178 171.45  0.203  0.018 0.680   0.000
 22 0.904 0.0905   9.01  0.517   0.0178 165.54  0.208  0.018 0.666   0.000
 23 0.925 0.0837   8.76  0.506   0.0180 156.65  0.213  0.019 0.651   0.000
 24 0.944 0.0758   8.55  0.495   0.0185 144.58  0.217  0.019 0.633   0.000
 25 0.959 0.0667   8.37  0.486   0.0193 129.33  0.221  0.019 0.613   0.000
 26 0.973 0.0565   8.22  0.479   0.0206 111.14  0.224  0.019 0.588   0.000
 27 0.983 0.0454   8.10  0.473   0.0227  90.39  0.226  0.020 0.558   0.000
 28 0.991 0.0338   8.01  0.469   0.0261  67.77  0.228  0.020 0.518   0.000
 29 0.997 0.0221   7.95  0.465   0.0320  44.62  0.230  0.020 0.463   0.000
 30 0.999 0.0124   7.92  0.462   0.0426  24.99  0.230  0.020 0.391   0.000
